sku_id,product_id,ingredients,highlighted_ingredients,ingredient_callouts,clinical_results,clean_at_sephora,coverage,finish,formulation,finish_source,needs_review
2998102,P517483,"Octyldodecanol, Synthetic Wax, Hydrogenated Polyisobutene, Cetyl Ethylhexanoate, Polyglyceryl-2 Triisostearate, Hydrogenated Poly(C6-14 Olefin), Bis-Diglyceryl Polyacyladipate-2, Magnesium/Potassium/Silicon/Fluoride/Hydroxide/Oxide, Kaolin, Silica, Tocopherol, Glycerin, Calophyllum Inophyllum Seed Oil, Palmitoyl Tripeptide-1, Palmitoyl Tripeptide-5, Caprylyl Glycol, Caprylic/Capric Triglyceride, Glyceryl Caprylate, Pentaerythrityl Tetraisostearate, Aluminum Hydroxide, Triethoxycaprylylsilane, Water/Aqua/Eau, Propylene Carbonate, Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Stearalkonium Hectorite, Ethylhexylglycerin, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 28 Lake (CI 45410), Red 7 (CI 15850), Blue 1 Lake (CI 42090)",,a greasy feel. Clinical Results: Based on a 32,Based on a 32,Clean at Sephora,,,,,True
2896181,P517483,"Octyldodecanol, Synthetic Wax, Hydrogenated Polyisobutene, Cetyl Ethylhexanoate, Polyglyceryl-2 Triisostearate, Hydrogenated Poly(C6-14 Olefin), Bis-Diglyceryl Polyacyladipate-2, Magnesium/Potassium/Silicon/Fluoride/Hydroxide/Oxide, Kaolin, Silica, Tocopherol, Glycerin, Calophyllum Inophyllum Seed Oil, Palmitoyl Tripeptide-1, Palmitoyl Tripeptide-5, Caprylyl Glycol, Caprylic/Capric Triglyceride, Glyceryl Caprylate, Pentaerythrityl Tetraisostearate, Aluminum Hydroxide, Triethoxycaprylylsilane, Water/Aqua/Eau, Propylene Carbonate, Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Stearalkonium Hectorite, Ethylhexylglycerin, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 28 Lake (CI 45410), Red 7 (CI 15850), Blue 1 Lake (CI 42090)",,a greasy feel. Clinical Results: Based on a 32,Based on a 32,Clean at Sephora,,,,,True
2896033,P517483,"Octyldodecanol, Synthetic Wax, Hydrogenated Polyisobutene, Cetyl Ethylhexanoate, Polyglyceryl-2 Triisostearate, Hydrogenated Poly(C6-14 Olefin), Bis-Diglyceryl Polyacyladipate-2, Magnesium/Potassium/Silicon/Fluoride/Hydroxide/Oxide, Kaolin, Silica, Tocopherol, Glycerin, Calophyllum Inophyllum Seed Oil, Palmitoyl Tripeptide-1, Palmitoyl Tripeptide-5, Caprylyl Glycol, Caprylic/Capric Triglyceride, Glyceryl Caprylate, Pentaerythrityl Tetraisostearate, Aluminum Hydroxide, Triethoxycaprylylsilane, Water/Aqua/Eau, Propylene Carbonate, Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Stearalkonium Hectorite, Ethylhexylglycerin, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 28 Lake (CI 45410), Red 7 (CI 15850), Blue 1 Lake (CI 42090)",,a greasy feel. Clinical Results: Based on a 32,Based on a 32,Clean at Sephora,,,,,True
2895779,P517483,"Octyldodecanol, Synthetic Wax, Hydrogenated Polyisobutene, Cetyl Ethylhexanoate, Polyglyceryl-2 Triisostearate, Hydrogenated Poly(C6-14 Olefin), Bis-Diglyceryl Polyacyladipate-2, Magnesium/Potassium/Silicon/Fluoride/Hydroxide/Oxide, Kaolin, Silica, Tocopherol, Glycerin, Calophyllum Inophyllum Seed Oil, Palmitoyl Tripeptide-1, Palmitoyl Tripeptide-5, Caprylyl Glycol, Caprylic/Capric Triglyceride, Glyceryl Caprylate, Pentaerythrityl Tetraisostearate, Aluminum Hydroxide, Triethoxycaprylylsilane, Water/Aqua/Eau, Propylene Carbonate, Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Stearalkonium Hectorite, Ethylhexylglycerin, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 28 Lake (CI 45410), Red 7 (CI 15850), Blue 1 Lake (CI 42090)",,a greasy feel. Clinical Results: Based on a 32,Based on a 32,Clean at Sephora,,,,,True
2895860,P517483,"Octyldodecanol, Synthetic Wax, Hydrogenated Polyisobutene, Cetyl Ethylhexanoate, Polyglyceryl-2 Triisostearate, Hydrogenated Poly(C6-14 Olefin), Bis-Diglyceryl Polyacyladipate-2, Magnesium/Potassium/Silicon/Fluoride/Hydroxide/Oxide, Kaolin, Silica, Tocopherol, Glycerin, Calophyllum Inophyllum Seed Oil, Palmitoyl Tripeptide-1, Palmitoyl Tripeptide-5, Caprylyl Glycol, Caprylic/Capric Triglyceride, Glyceryl Caprylate, Pentaerythrityl Tetraisostearate, Aluminum Hydroxide, Triethoxycaprylylsilane, Water/Aqua/Eau, Propylene Carbonate, Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Stearalkonium Hectorite, Ethylhexylglycerin, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 28 Lake (CI 45410), Red 7 (CI 15850), Blue 1 Lake (CI 42090)",,a greasy feel. Clinical Results: Based on a 32,Based on a 32,Clean at Sephora,,,,,True
2896124,P517483,"Octyldodecanol, Synthetic Wax, Hydrogenated Polyisobutene, Cetyl Ethylhexanoate, Polyglyceryl-2 Triisostearate, Hydrogenated Poly(C6-14 Olefin), Bis-Diglyceryl Polyacyladipate-2, Magnesium/Potassium/Silicon/Fluoride/Hydroxide/Oxide, Kaolin, Silica, Tocopherol, Glycerin, Calophyllum Inophyllum Seed Oil, Palmitoyl Tripeptide-1, Palmitoyl Tripeptide-5, Caprylyl Glycol, Caprylic/Capric Triglyceride, Glyceryl Caprylate, Pentaerythrityl Tetraisostearate, Aluminum Hydroxide, Triethoxycaprylylsilane, Water/Aqua/Eau, Propylene Carbonate, Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Stearalkonium Hectorite, Ethylhexylglycerin, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 28 Lake (CI 45410), Red 7 (CI 15850), Blue 1 Lake (CI 42090)",,a greasy feel. Clinical Results: Based on a 32,Based on a 32,Clean at Sephora,,,,,True
2916823,P517483,"Octyldodecanol, Synthetic Wax, Hydrogenated Polyisobutene, Cetyl Ethylhexanoate, Polyglyceryl-2 Triisostearate, Hydrogenated Poly(C6-14 Olefin), Bis-Diglyceryl Polyacyladipate-2, Magnesium/Potassium/Silicon/Fluoride/Hydroxide/Oxide, Kaolin, Silica, Tocopherol, Glycerin, Calophyllum Inophyllum Seed Oil, Palmitoyl Tripeptide-1, Palmitoyl Tripeptide-5, Caprylyl Glycol, Caprylic/Capric Triglyceride, Glyceryl Caprylate, Pentaerythrityl Tetraisostearate, Aluminum Hydroxide, Triethoxycaprylylsilane, Water/Aqua/Eau, Propylene Carbonate, Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Stearalkonium Hectorite, Ethylhexylglycerin, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 28 Lake (CI 45410), Red 7 (CI 15850), Blue 1 Lake (CI 42090)",,a greasy feel. Clinical Results: Based on a 32,Based on a 32,Clean at Sephora,,,,,True
2895845,P517483,"Octyldodecanol, Synthetic Wax, Hydrogenated Polyisobutene, Cetyl Ethylhexanoate, Polyglyceryl-2 Triisostearate, Hydrogenated Poly(C6-14 Olefin), Bis-Diglyceryl Polyacyladipate-2, Magnesium/Potassium/Silicon/Fluoride/Hydroxide/Oxide, Kaolin, Silica, Tocopherol, Glycerin, Calophyllum Inophyllum Seed Oil, Palmitoyl Tripeptide-1, Palmitoyl Tripeptide-5, Caprylyl Glycol, Caprylic/Capric Triglyceride, Glyceryl Caprylate, Pentaerythrityl Tetraisostearate, Aluminum Hydroxide, Triethoxycaprylylsilane, Water/Aqua/Eau, Propylene Carbonate, Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Stearalkonium Hectorite, Ethylhexylglycerin, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 28 Lake (CI 45410), Red 7 (CI 15850), Blue 1 Lake (CI 42090)",,a greasy feel. Clinical Results: Based on a 32,Based on a 32,Clean at Sephora,,,,,True
2895969,P517483,"Octyldodecanol, Synthetic Wax, Hydrogenated Polyisobutene, Cetyl Ethylhexanoate, Polyglyceryl-2 Triisostearate, Hydrogenated Poly(C6-14 Olefin), Bis-Diglyceryl Polyacyladipate-2, Magnesium/Potassium/Silicon/Fluoride/Hydroxide/Oxide, Kaolin, Silica, Tocopherol, Glycerin, Calophyllum Inophyllum Seed Oil, Palmitoyl Tripeptide-1, Palmitoyl Tripeptide-5, Caprylyl Glycol, Caprylic/Capric Triglyceride, Glyceryl Caprylate, Pentaerythrityl Tetraisostearate, Aluminum Hydroxide, Triethoxycaprylylsilane, Water/Aqua/Eau, Propylene Carbonate, Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Stearalkonium Hectorite, Ethylhexylglycerin, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 28 Lake (CI 45410), Red 7 (CI 15850), Blue 1 Lake (CI 42090)",,a greasy feel. Clinical Results: Based on a 32,Based on a 32,Clean at Sephora,,,,,True
2916815,P517483,"Octyldodecanol, Synthetic Wax, Hydrogenated Polyisobutene, Cetyl Ethylhexanoate, Polyglyceryl-2 Triisostearate, Hydrogenated Poly(C6-14 Olefin), Bis-Diglyceryl Polyacyladipate-2, Magnesium/Potassium/Silicon/Fluoride/Hydroxide/Oxide, Kaolin, Silica, Tocopherol, Glycerin, Calophyllum Inophyllum Seed Oil, Palmitoyl Tripeptide-1, Palmitoyl Tripeptide-5, Caprylyl Glycol, Caprylic/Capric Triglyceride, Glyceryl Caprylate, Pentaerythrityl Tetraisostearate, Aluminum Hydroxide, Triethoxycaprylylsilane, Water/Aqua/Eau, Propylene Carbonate, Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Stearalkonium Hectorite, Ethylhexylglycerin, Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499), Red 28 Lake (CI 45410), Red 7 (CI 15850), Blue 1 Lake (CI 42090)",,a greasy feel. Clinical Results: Based on a 32,Based on a 32,Clean at Sephora,,,,,True
