product_id,brand,display_name,brand_id,target_url,short_description,long_description,how_to_use,what_it_is,what_else_you_need_to_know,loves_count,hero_image_url,rating,reviews,is_bestseller,is_new,is_sephora_exclusive,is_limited_edition,is_online_only,is_discontinued,sponsored,sku_type,scraped_at
P517483,rhode,Pocket Blush Buildable Hydrating Cream Blush,,https://www.sephora.com/product/pocket-blush-P517483?skuId=2998102,"An on-the-go cream blush that wakes up cheeks and lips with a satiny, diffused flush.","What it is: An on-the-go cream blush that wakes up cheeks and lips with a satiny, diffused flush. Finish: Satin Formulation: Cream Ingredient Callouts: This product is vegan and cruelty-free. What Else You Need to Know: Pocket Blush is a lightweight cream blush that melts on smoothly, blends seamlessly, and stays all day. It hydrates skin for baby-soft cheeks and leaves a glowy finish without a greasy feel. Clinical Results: Based on a 32-subject consumer perception study after 2 weeks of use: -100% said it gave cheeks a natural glow -97% said it melts into skin + blends seamlessly -3 out of 4 said the blush feels hydrating Clean at Sephora Clean at Sephora is our commitment to offering effective products without certain ingredients, such as parabens, sulfates, phthalates, and mineral oils. Learn more here .","Suggested Usage: -Apply with your finger or a brush and tap onto cheeks. -Color is buildable, so tap on a little or a lot—however you like it. -For a monochromatic look, apply to cheeks and lips. -Avoid the eye area.","An on-the-go cream blush that wakes up cheeks and lips with a satiny, diffused flush.",,1191609.0,https://www.sephora.com/productimages/sku/s2998102-main-zoom.jpg?imwidth=270&pb=clean-at-sephora,4.2105,1872,True,True,False,False,False,False,False,,2026-06-25T00:59:25.177630+00:00
P458747,PATRICK TA,Major Headlines Double-Take Crème & Powder Blush Duo,,https://www.sephora.com/product/patrick-ta-major-headlines-cream-powder-blush-duo-P458747?skuId=2849768,"A viral duo compact of powder and cream blush formulas to achieve long-wearing bold color that melts into skin for a beautiful, radiant glow.","What it is: A viral duo compact of powder and cream blush formulas to achieve long-wearing bold color that melts into skin for a beautiful, radiant glow. Finish: Radiant Formulation: Cream, Pressed Powder Highlighted Ingredients: - Patented Biomimetic Pigments: Mirror the skin's ceramide structure, ensuring adhesion, true color, and the most natural finish. - Micronized Pigments: Provide even, flawless payoff, a luminous finish, and extended wear. - Creamy Emollient Base: Flawlessly blends into skin, provides a dewy finish, and locks in color for extended wear. Ingredient Callouts: Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban, and contains less than one percent of synthetic fragrances. This product is cruelty-free and gluten-free. W hat Else You Need to Know: This bestselling blush duo is inspired by Patrick’s viral cream-over-powder blush technique. The rich pigments blend together for a long-wearing skin-like finish to create a lit-from-within glow.","Suggested Usage: -For a sheer look and dewy glow, dab and blend the cream formula on cheeks. -For a soft, airbrushed finish, sweep the powder onto the apples of the cheeks with a fluffy blush brush. -For ultimate color payoff, layer the cream formula over the powder for a glossy, dimensional look. -For best results, pair with Patrick Ta Dual Ended Blush Brush (sold separately).","A viral duo compact of powder and cream blush formulas to achieve long-wearing bold color that melts into skin for a beautiful, radiant glow.",,2649553.0,https://www.sephora.com/productimages/sku/s2849768-main-zoom.jpg?imwidth=270,4.6419,4248,True,False,True,False,False,False,False,,2026-06-25T00:59:29.242087+00:00
P97989778,Rare Beauty by Selena Gomez,Soft Pinch Liquid Blush,,https://www.sephora.com/product/rare-beauty-by-selena-gomez-soft-pinch-liquid-blush-P97989778?skuId=2911741,A weightless liquid blush that delivers high-impact color with just one dot. Blends seamlessly for a pinch-perfect flush that lasts up to 12 hours.,"What it is: A weightless liquid blush that delivers high-impact color with just one dot. Blends seamlessly for a pinch-perfect flush that lasts up to 12 hours. Ingredient Callouts: Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban, and contains less than one percent of synthetic fragrances. This product is also vegan and cruelty-free. What Else You Need to Know: This featherlight liquid blush features pure color pigments in a transparent base for true color payoff on all skin tones. In matte and dewy finishes, it’s made with a botanical blend to calm and nourish skin. Derm-tested, non-comedogenic, and safe for sensitive skin. This product is an Allure Best of Beauty award winner. Real results: 100% said it applies easily and wears evenly 100% said the texture is silky and glides on smoothly 100% said it stays in place upon application and is comfortable to wear 97% said the color blends seamlessly *In an independent consumer study of 32 subjects","Suggested Usage: -Gently remove excess product from applicator. -Use the doe-foot applicator and place one or two dots on each cheek. -Use fingertips or the Soft Pinch Blush Brush (sold separately) and gently pat into skin for a seamless finish. -For more control, apply blush to the back of your hand first, then use the Soft Pinch Blush Brush (sold separately) to pick up and blend onto cheeks. -For a dewy, lit-from-within glow, mix Soft Pinch Liquid Blush with Positive Light Liquid Luminizer (sold separately) before applying onto cheeks. -The perfect blush to mix, layer and enhance with other liquid or powder formulas, use it with contour, bronzer, powder blush, highlighter, etc.",A weightless liquid blush that delivers high-impact color with just one dot. Blends seamlessly for a pinch-perfect flush that lasts up to 12 hours.,,3178611.0,https://www.sephora.com/productimages/sku/s2911741-main-zoom.jpg?imwidth=270&pb=allure-2022-bestofbeauty-badge,4.543,12533,True,False,True,False,False,False,False,,2026-06-25T00:59:33.635060+00:00
P510756,HUDA BEAUTY,Blush Filter Soft Glow Liquid Blush,,https://www.sephora.com/product/blush-filter-soft-glow-liquid-blush-P510756?skuId=2954675,"A lightweight liquid blush with buildable pigments and finely milled micro-pearls for a soft-focus, high-impact glow.","What it is: A lightweight liquid blush with buildable pigments and finely milled micro-pearls for a soft-focus, high-impact glow. Finish: Radiant Ingredient Callouts: It is cruelty-free. What Else You Need to Know: B lush Filter's formula has blendable pigments that effortlessly melt into the skin using its innovative doe-foot applicator for a long lasting dimesnional 'airblushed' finish. The formula also includes a yummy candy scent to complement the sweet shade names.",Suggested Usage: -Add three dots of blush onto targeted areas with peanut-shaped doe foot. Blend with fingertips for a luminous glow! -HUDA hack: Combine two shades for an ombre blush effect starting with three dots of the lightest shade at the center of the cheek. Add two dots of a darker shade higher up the cheekbone. Blend with fingers. Set with Easy Bake Loose Baking and Setting Powder for an ‘airblushed’ finish. -HUDA’S color combinations for ‘OMBRE’ blush: Cotton Candy + Strawberry Cream Cotton Candy + Peach Sorbet Peach Sorbet + Watermelon Pop Strawberry Cream + Black Cherry.,"A lightweight liquid blush with buildable pigments and finely milled micro-pearls for a soft-focus, high-impact glow.",,418887.0,https://www.sephora.com/productimages/sku/s2954675-main-zoom.jpg?imwidth=270,4.7461,4573,True,True,True,False,False,False,False,,2026-06-25T00:59:37.383446+00:00
P514568,Yves Saint Laurent,Make Me Blush 24H Buildable Powder Blush,,https://www.sephora.com/product/make-me-blush-24h-buildable-powder-blush-P514568?skuId=2935195,"An ultra-sensorial, waterproof, sweatproof, silky powder blush that blurs the looks of pores and ensures up to 24 hours of bright-colored flush.","What it is: A little blush in a little clutch. A long-lasting, velvety-soft blush that provides buildable color in silky satin and soft matte finishes Coverage: Medium Finish: Matte and Satin Formulation: Pressed Powder Highlighted Ingredients: - Squalane: Blurs the looks of imperfections and pores on the cheek. - Rosehip from YSL Beauty Ourika Community Gardens: For healthy-looking skin. What Else You Need to Know: This iconic, palm-sized powder blush feels lightweight and blurs onto cheeks, lasting 24H without leaving skin feeling dry. These collectable couture blushes provide a subtle diffused flush or can build for a full glam look.","Suggested Usage: For a flushed look: - Using a blush brush, apply a swipe of the powder blush over the tops of the cheekbones, sweeping up towards the temples. - Blend for a soft flush of color, build for a full glam. For a sun-kissed look: - Using a blush brush, apply the blush in a “W” shape from one cheek, across your nose, to the other cheek. - Blend. Pro tip: A little goes a long way. Make sure to tap the brush on the side of the pan before applying to skin.","An ultra-sensorial, waterproof, sweatproof, silky powder blush that blurs the looks of pores and ensures up to 24 hours of bright-colored flush.",,498775.0,https://www.sephora.com/productimages/sku/s2935195-main-zoom.jpg?imwidth=270,4.8134,2781,True,False,False,False,False,False,False,,2026-06-25T00:59:41.471647+00:00
P515061,Saie,SuperSuede™ Radiant Talc-Free Baked Powder Blush,,https://www.sephora.com/product/saie-supersuede-talc-free-powder-blush-P515061?skuId=2975878,A long-wearing baked blush that’s non-comedogenic and lightweight for a diffused flush of color.,"What it is: A long-wearing baked blush that’s non-comedogenic and lightweight for a diffused flush of color. Highlighted Ingredients: - Plant-Derived Squalane and Glycerin: Help moisturize and soften dry skin. - Hyaluronic Acid: Locks in moisture to hydrate skin. - Ethically Sourced Silica and Mica: Helps to blur skin with a natural, diffused finish. Ingredient Callouts: Free of parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, sulfates SLS & SLES, triclocarban, triclosan, and contains less than one percent synthetic fragrance. It is also vegan, gluten-free, cruelty-free, and comes in recyclable packaging. What Else You Need to Know: Luxurious and plush, SuperSuede™ blush has easy pickup and effortless, breathable color payoff. Its lightweight, velvet texture melts into skin seamlessly, blurs without silicones, and is never patchy, cakey or drying. We recommend storing SuperSuede™ out of direct sunlight or harsh lighting when not in use.","Suggested Usage: With a light hand, DIP flat side of Powder Blush Brush into SuperSuede™. -Gently TAP off excess pigment from bristles for a controlled, even application. -Softly SWEEP brush over apples of the cheeks and up toward the temples. Repeat to build pigment. - Stack SuperSuede™ on top of Dew Blush Liquid Cream Blush (sold separately) to intensify color and set. -SaieGlow™ Pro Artist Tip: - Use one side of the Powder Blush Brush's bristles to apply pigment and the opposite clean side to blend.",A long-wearing baked blush that’s non-comedogenic and lightweight for a diffused flush of color.,,233619.0,https://www.sephora.com/productimages/sku/s2975878-main-zoom.jpg?imwidth=270&pb=clean-planet-aware,4.7159,535,True,True,True,False,False,False,False,,2026-06-25T00:59:46.184026+00:00
P468693,MERIT,Flush Balm Cream Blush,,https://www.sephora.com/product/merit-flush-balm-cream-blush-P468693?skuId=2842870,"A foolproof, flexible balm that deposits a creamy, transparent veil of color to let your skin show through.","What it is: An impossible-to-mess-up cream blush that effortlessly melts into the skin for a perfect, all day flush. Highlighted Ingredients: Vitamin E: Helps to nourish and condition the skin Coverage: Light Finish: Radiant Formulation: Stick Highlighted Ingredients: - Vitamin E: Nourishes and conditions skin. Ingredient Callouts: This product is vegan, cruelty-free, and comes in recyclable packaging. What Else You Need to Know: Lightweight and flexible, this buildable balm blends easily into the skin, leaving a transparent veil of color that allows your natural skin to show through. Perfect for cheeks and lips, its creamy, multi-use formula features vitamin E to nourish skin for a long-lasting glow that's never heavy or cakey. It also contains microfine pigment powders that give a sheer wash of color, so it always impossible to mess up. This product is an Allure Best of Beauty award winner. Clean at Sephora is our commitment to offering effective products without certain ingredients, such as parabens, sulfates, phthalates, and mineral oils. Learn more here .","Suggested Usage: -Swipe onto cheeks or lips. -Blend in with your fingertips, brush, or sponge. -Layer for more color payoff.","A foolproof, flexible balm that deposits a creamy, transparent veil of color to let your skin show through.",,914977.0,https://www.sephora.com/productimages/sku/s2842870-main-zoom.jpg?imwidth=270&pb=allure-2024-bestofbeauty,4.2874,2182,True,False,True,False,False,False,False,,2026-06-25T00:59:50.507712+00:00
P469825,Saie,Dew Blush Liquid Cream Blush,,https://www.sephora.com/product/saie-dew-blush-liquid-cheek-blush-P469825?skuId=2872448,"A blendable and buildable dewy, liquid cream blush that melts into cheeks for a wash of color.","What it is: A blendable and buildable dewy, liquid cream blush that melts into cheeks for a wash of color. Formulation: Cream Highlighted Ingredients: - Plant-Derived Glycerin: A powerful humectant known to increase skin’s natural moisture level. - Licorice Root Extract: Brightens the overall appearance of skin. - Silica: Provides a smooth, soft feel, and an even application while helping to blur. Ingredient Callouts: This product is vegan and cruelty-free. What Else You Need to Know: With its chunky doe-foot, Dew Blush can be applied easily and precisely, allowing you to build shades to your desired level of flush. Its creamy formula blends seamlessly for a dewy finish that’s never patchy or streaky. Dew Blush is packed with skin-loving ingredients like plant-derived glycerin and elderberry fruit extract for smooth and nourished skin. It’s dermatologist-tested and safe for sensitive skin. Clean at Sephora Clean at Sephora is our commitment to offering effective products without certain ingredients, such as parabens, sulfates, phthalates, and mineral oils. Learn more here .","Suggested Usage: -Use the chubby doe-foot to dab one to two dots of Dew Blush onto each cheek. -For deeper color, add more as desired. -Blend out with fingertips onto apples of cheeks, cheekbones, or anywhere else you want a flush of color. -Dew Blush blends seamlessly over Saie Slip Tint (sold separately) or Saie Glowy Super Gel (sold separately).","A blendable and buildable dewy, liquid cream blush that melts into cheeks for a wash of color.",,1222904.0,https://www.sephora.com/productimages/sku/s2872448-main-zoom.jpg?imwidth=270&pb=clean-planet-aware,4.4439,3406,True,False,True,False,False,False,False,,2026-06-25T00:59:55.288568+00:00
P520666,Saie,Mini Dew Blush Liquid Cream Blush,,https://www.sephora.com/product/mini-dew-blush-P520666?skuId=2938538,A blendable and buildable mini liquid cream blush that melts into cheeks for a dewy wash of color.,"What it is: A blendable and buildable mini liquid cream blush that melts into cheeks for a dewy wash of color. Formulation: Liquid Highlighted Ingredients: - Elderberry Fruit Extract: Fights free-radical and environmental damage. - Licorice Root Extract: Brightens the overall appearance of skin. - Plant-Derived Glycerin: Powerful humectant known to increase skin’s natural moisture level. Ingredient Callouts: This product is vegan. What Else You Need to Know: Mini Dew Blush's chunky doe-foot makes targeted application easy, while the creamy formula blends seamlessly for your desired level of flush—no harsh lines, streaks, or patchy-ness. Mini Dew Blush is packed with skin-loving ingredients like plant-derived glycerin and licorice root extract for smooth, dewy, and nourished skin. It’s dermatologist tested and safe for sensitive skin. Clean at Sephora Clean at Sephora is our commitment to offering effective products without certain ingredients, such as parabens, sulfates, phthalates, and mineral oils. Learn more here .","Suggested Usage: -Use the chubby doe-foot to dab one to two dots of Dew Blush onto each cheek. -For deeper color, add more as desired. -Blend out with fingertips onto apples of cheeks, cheekbones, or anywhere else you want a flush of color. -Dew Blush blends seamlessly over Saie Slip Tint (sold separately) or Saie Glowy Super Gel (sold separately). Refill Product Instructions: -Dew Blush's vial is made of 40% post-consumer recycled plastic. -While Dew Blush's components are made of recyclable materials, individual components under two inches do not typically make it through the curbside recycling stream. Saie works with Pact Collective to make sure your hard-to-recycle items get recycled.",A blendable and buildable mini liquid cream blush that melts into cheeks for a dewy wash of color.,,67274.0,https://www.sephora.com/productimages/sku/s2938538-main-zoom.jpg?imwidth=270&pb=clean-planet-aware,4.4315,2000,True,False,True,False,False,False,False,,2026-06-25T00:59:58.845754+00:00
P518438,PATRICK TA,Mini Major Headlines Double-Take Crème & Powder Blush Duo,,https://www.sephora.com/product/mini-major-headlines-double-take-creme-powder-blush-duo-P518438?skuId=2926020,A mini version of the viral duo of powder and cream blush formulas to achieve long-wearing bold color that melts into skin for a beautiful glow.,"What it is: A mini version of the viral duo of powder and cream blush formulas to achieve long-wearing bold color that melts into skin for a beautiful glow. Highlighted Ingredients: - Patented Biomimetic Pigments: Mirror the skin's ceramide structure, ensuring adhesion, true color, and the most natural finish. - Micronized Pigments: Provide even, flawless payoff, a luminous finish, and extended wear. - Creamy Emollient Base: Flawlessly blends into skin, provides a dewy finish, and locks in color for extended wear. Ingredient Callouts: Free of sulfates SLS and SLES, parabens, formaldehydes, formaldehyde-releasing agents, phthalates, mineral oil, retinyl palmitate, oxybenzone, coal tar, hydroquinone, triclosan, and triclocarban, and contains less than one percent of synthetic fragrances. This product is cruelty-free and gluten-free. What Else You Need to Know: This bestselling blush duo is inspired by Patrick’s viral cream-over-powder blush technique. The rich pigments blend together for a long-wearing skin-like finish to create a lit-from-within glow.","Suggested Usage: -For a sheer look and dewy glow, dab and blend the cream formula on cheeks. -For a soft, airbrushed finish, sweep the powder onto the apples of the cheeks with a fluffy blush brush. -For ultimate color payoff, layer the cream formula over the powder for a glossy, dimensional look.",A mini version of the viral duo of powder and cream blush formulas to achieve long-wearing bold color that melts into skin for a beautiful glow.,,163123.0,https://www.sephora.com/productimages/sku/s2926020-main-zoom.jpg?imwidth=270,4.293,157,True,False,True,False,False,False,False,,2026-06-25T01:00:02.293334+00:00
